"Sub.Num"	"< 24 Months_< 24 Months"	"< 24 Months_< 24 Months_n"	"< 24 Months_< 24 Months_sd"	"> 24 Months _> 24 Months "	"> 24 Months _> 24 Months _n"	"> 24 Months _> 24 Months _sd"
"30011"	0.500882298595713	6	0.0626065652553786	NA	NA	NA
"30013"	NA	NA	NA	0.578423120089787	27	0.134745602845821
"30015"	0.587267907491485	9	0.19322925520774	NA	NA	NA
"30018"	0.60282335653538	27	0.204492528675644	NA	NA	NA
"30019"	NA	NA	NA	0.729220779220779	24	0.192240086402101
"30023"	0.495031651086671	15	0.114490527331355	NA	NA	NA
"30024"	0.575874010633147	21	0.184525887729632	NA	NA	NA
"30025"	0.349721706864564	7	0.169875994917274	NA	NA	NA
"30028"	NA	NA	NA	0.588059310443031	12	0.142623739450492
"30030"	NA	NA	NA	0.701309647747096	23	0.179179032745355
"30031"	0.639634986225895	22	0.200173718137932	NA	NA	NA
"30037"	0.629251486995389	15	0.184159612740876	NA	NA	NA
"30038"	0.578512396694215	22	0.205322870009172	NA	NA	NA
"30039"	NA	NA	NA	0.679620785575254	11	0.200950241423943
"30041"	0.6399518999519	15	0.173437256766436	NA	NA	NA
"30043"	NA	NA	NA	0.59724025974026	10	0.229839160830356
"30044"	NA	NA	NA	0.63357302008472	32	0.0779202313402563
"30046"	0.601046176046176	15	0.144613563333307	NA	NA	NA
"30048"	0.635713465827102	22	0.159947829309442	NA	NA	NA
"30050"	0.510115691801738	16	0.258571453286226	NA	NA	NA
"30058"	0.518968971832568	24	0.26617881609169	NA	NA	NA
"30060"	NA	NA	NA	0.913046728726171	35	0.0558801393187615
