"Sub.Num"	"< 24 Months_< 24 Months"	"< 24 Months_< 24 Months_n"	"< 24 Months_< 24 Months_sd"	"> 24 Months _> 24 Months "	"> 24 Months _> 24 Months _n"	"> 24 Months _> 24 Months _sd"	"Adults_Adults"	"Adults_Adults_n"	"Adults_Adults_sd"
"30004"	NA	NA	NA	NA	NA	NA	0.709143622205911	40	0.13274842950927
"30005"	NA	NA	NA	NA	NA	NA	0.853976666523697	34	0.0972886674979367
"30006"	NA	NA	NA	NA	NA	NA	0.638725334425048	34	0.139735803753565
"30007"	NA	NA	NA	NA	NA	NA	0.863177736761328	25	0.0750982115571239
"30011"	0.500882298595713	6	0.0626065652553786	NA	NA	NA	NA	NA	NA
"30013"	NA	NA	NA	0.578423120089787	27	0.134745602845821	NA	NA	NA
"30015"	0.587267907491485	9	0.19322925520774	NA	NA	NA	NA	NA	NA
"30018"	0.60282335653538	27	0.204492528675644	NA	NA	NA	NA	NA	NA
"30019"	NA	NA	NA	0.729220779220779	24	0.192240086402101	NA	NA	NA
"30021"	NA	NA	NA	NA	NA	NA	0.80501443001443	36	0.0810190505175822
"30022"	NA	NA	NA	NA	NA	NA	0.722601840776183	22	0.117671203047003
"30024"	0.575874010633147	21	0.184525887729632	NA	NA	NA	NA	NA	NA
"30027"	NA	NA	NA	NA	NA	NA	0.763340335492785	31	0.0679687721794829
"30028"	NA	NA	NA	0.588059310443031	12	0.142623739450492	NA	NA	NA
"30030"	NA	NA	NA	0.701309647747096	23	0.179179032745355	NA	NA	NA
"30031"	0.639634986225895	22	0.200173718137932	NA	NA	NA	NA	NA	NA
"30037"	0.629251486995389	15	0.184159612740876	NA	NA	NA	NA	NA	NA
"30038"	0.578512396694215	22	0.205322870009172	NA	NA	NA	NA	NA	NA
"30039"	NA	NA	NA	0.679620785575254	11	0.200950241423943	NA	NA	NA
"30041"	0.6399518999519	15	0.173437256766436	NA	NA	NA	NA	NA	NA
"30043"	NA	NA	NA	0.59724025974026	10	0.229839160830356	NA	NA	NA
"30044"	NA	NA	NA	NA	NA	NA	0.63357302008472	32	0.0779202313402563
"30046"	0.601046176046176	15	0.144613563333307	NA	NA	NA	NA	NA	NA
"30048"	0.635713465827102	22	0.159947829309442	NA	NA	NA	NA	NA	NA
"30050"	0.510115691801738	16	0.258571453286226	NA	NA	NA	NA	NA	NA
"30058"	0.518968971832568	24	0.26617881609169	NA	NA	NA	NA	NA	NA
"30059"	NA	NA	NA	NA	NA	NA	0.836275700503343	36	0.102665256534646
"30060"	NA	NA	NA	NA	NA	NA	0.913046728726171	35	0.0558801393187615
