"Sub.Num"	"< 24 Months_D"	"< 24 Months_D_n"	"< 24 Months_D_sd"	"> 24 Months_D"	"> 24 Months_D_n"	"> 24 Months_D_sd"	"Adults_D"	"Adults_D_n"	"Adults_D_sd"
"30013"	NA	NA	NA	2064.4	15	819.741143811352	NA	NA	NA
"30017"	NA	NA	NA	1210.1	20	499.526396752596	NA	NA	NA
"30024"	NA	NA	NA	1576.92307692308	26	671.087351874668	NA	NA	NA
"30025"	NA	NA	NA	1718.18181818182	11	860.132294264297	NA	NA	NA
"30030"	NA	NA	NA	1655.6	15	799.433710286761	NA	NA	NA
"30031"	1443.75	16	671.666732837052	NA	NA	NA	NA	NA	NA
"30041"	1066.72727272727	11	480.765658280433	NA	NA	NA	NA	NA	NA
"30048"	1555.66666666667	9	906.444565321013	NA	NA	NA	NA	NA	NA
"30049"	NA	NA	NA	1327.77777777778	18	653.055222919935	NA	NA	NA
"30051"	1355.55555555556	9	480.566881690549	NA	NA	NA	NA	NA	NA
"30052"	NA	NA	NA	1435.29411764706	17	753.413628485864	NA	NA	NA
"30057"	NA	NA	NA	1066.8	5	769.715012196072	NA	NA	NA
"30069"	NA	NA	NA	NA	NA	NA	836.888888888889	9	683.747658943788
"30070"	NA	NA	NA	NA	NA	NA	1394.07142857143	28	659.910090877786
"30072"	NA	NA	NA	NA	NA	NA	1695.03703703704	27	904.542276151164
"30074"	NA	NA	NA	NA	NA	NA	668.625	16	419.899968246407
"30075"	NA	NA	NA	NA	NA	NA	727.411764705882	17	427.704199597036
"30076"	NA	NA	NA	NA	NA	NA	1761.29032258065	31	732.214185128386
"30077"	NA	NA	NA	NA	NA	NA	2215.70588235294	17	782.533606682956
"30078"	NA	NA	NA	NA	NA	NA	673.28	25	447.31388308435
