"Sub.Num"	"H_H"	"H_H_n"	"H_H_sd"	"L_L"	"L_L_n"	"L_L_sd"
"30009"	0.617848925976229	27	0.19948224775403	NA	NA	NA
"30010"	0.634551330977168	30	0.147427068712527	NA	NA	NA
"30011"	NA	NA	NA	0.481453769635717	11	0.291603177179993
"30013"	0.578423120089787	27	0.134745602845821	NA	NA	NA
"30014"	0.579890911625945	22	0.132792100378373	NA	NA	NA
"30015"	NA	NA	NA	0.546528443441996	16	0.227173040342002
"30016"	0.587568228872577	23	0.125705100373803	NA	NA	NA
"30017"	0.625075534466423	13	0.16904915957068	NA	NA	NA
"30018"	NA	NA	NA	0.595086068369677	29	0.204882915409429
"30019"	0.705948218448218	26	0.203749454345638	NA	NA	NA
"30020"	0.657772361093839	15	0.166268231497903	NA	NA	NA
"30023"	NA	NA	NA	0.489124919666868	22	0.141868897841538
"30024"	NA	NA	NA	0.553478575093477	24	0.217444982631629
"30025"	NA	NA	NA	0.518199208730055	17	0.273400680400556
"30026"	0.681915146417029	24	0.155482242716519	NA	NA	NA
"30028"	0.54900086600668	18	0.206900562290489	NA	NA	NA
"30029"	0.65302345608047	31	0.144571227636874	NA	NA	NA
"30030"	0.70395115752234	24	0.175717706891668	NA	NA	NA
"30031"	NA	NA	NA	0.664930555555556	24	0.210262884750472
"30036"	0.677740414347557	14	0.162590301260019	NA	NA	NA
"30037"	NA	NA	NA	0.658993641544691	17	0.191838856319649
"30038"	NA	NA	NA	0.571969696969697	24	0.19744103431501
"30039"	0.679620785575254	11	0.200950241423943	NA	NA	NA
"30041"	NA	NA	NA	0.642647075147075	20	0.180939693113447
"30042"	0.584839901700367	13	0.199486830333602	NA	NA	NA
"30043"	0.526858839358839	16	0.277125613726903	NA	NA	NA
"30046"	NA	NA	NA	0.583367153679654	16	0.156587491505554
"30048"	NA	NA	NA	0.637171067758923	27	0.154042718019648
"30050"	NA	NA	NA	0.511789405684755	22	0.263408769102117
"30058"	NA	NA	NA	0.530602266118631	27	0.257686877857379
