"Sub.Num"	"H_H"	"H_H_n"	"H_H_sd"	"L_L"	"L_L_n"	"L_L_sd"
"30009"	0.623388594782115	30	NA	NA	NA	NA
"30010"	0.630210965461775	31	NA	NA	NA	NA
"30011"	NA	NA	NA	0.481453769635717	11	NA
"30013"	0.586174242424242	28	0.138441887408722	NA	NA	NA
"30014"	0.577968184141965	24	0.128154317393091	NA	NA	NA
"30015"	NA	NA	NA	0.547211448820921	17	0.219977376802706
"30016"	0.587568228872577	23	0.125705100373803	NA	NA	NA
"30017"	0.625075534466423	13	0.16904915957068	NA	NA	NA
"30018"	NA	NA	NA	0.595086068369677	29	0.204882915409429
"30019"	0.705948218448218	26	0.203749454345638	NA	NA	NA
"30020"	0.657772361093839	15	0.166268231497903	NA	NA	NA
"30023"	NA	NA	NA	0.476751899444198	23	0.150774791744345
"30024"	NA	NA	NA	0.553478575093477	24	0.217444982631629
"30025"	NA	NA	NA	0.518199208730055	17	0.273400680400556
"30026"	0.674638540560348	25	0.156496556815123	NA	NA	NA
"30028"	0.548646233951466	20	0.196266225531069	NA	NA	NA
"30029"	0.65302345608047	31	0.144571227636874	NA	NA	NA
"30030"	0.701903036281802	26	0.169945439230635	NA	NA	NA
"30031"	NA	NA	NA	0.664930555555556	24	0.210262884750472
"30037"	NA	NA	NA	0.658993641544691	17	0.191838856319649
"30038"	NA	NA	NA	0.571969696969697	24	0.19744103431501
"30039"	0.679620785575254	11	0.200950241423943	NA	NA	NA
"30041"	NA	NA	NA	0.622248915106058	21	0.199599592963079
"30042"	0.584839901700367	13	0.199486830333602	NA	NA	NA
"30043"	0.526858839358839	16	0.277125613726903	NA	NA	NA
"30046"	NA	NA	NA	0.57344168265976	17	0.157041139242036
"30048"	NA	NA	NA	0.637171067758923	27	0.154042718019648
"30050"	NA	NA	NA	0.532192858820766	25	NA
"30058"	NA	NA	NA	0.529509328042965	28	0.252936000895757
