"Sub.Num"	"< 24 Months"	"< 24 Months_n"	"< 24 Months_sd"	"> 24 Months"	"> 24 Months_n"	"> 24 Months_sd"	"Adults"	"Adults_n"	"Adults_sd"
"30004"	NA	NA	NA	NA	NA	NA	0.709143622205911	40	0.13274842950927
"30005"	NA	NA	NA	NA	NA	NA	0.85165525527237	35	0.0968262011683606
"30006"	NA	NA	NA	NA	NA	NA	0.642820361500083	35	0.139780977172744
"30007"	NA	NA	NA	NA	NA	NA	0.863177736761328	25	0.0750982115571239
"30011"	0.500882298595713	6	0.0626065652553786	NA	NA	NA	NA	NA	NA
"30013"	NA	NA	NA	0.578423120089787	27	0.134745602845821	NA	NA	NA
"30014"	NA	NA	NA	0.591325635945435	17	0.120422387883937	NA	NA	NA
"30015"	0.587267907491485	9	0.19322925520774	NA	NA	NA	NA	NA	NA
"30016"	NA	NA	NA	0.587568228872577	23	0.125705100373803	NA	NA	NA
"30017"	NA	NA	NA	0.627652758298413	10	0.172419309914454	NA	NA	NA
"30018"	0.605238756139636	28	0.201076516922345	NA	NA	NA	NA	NA	NA
"30019"	NA	NA	NA	0.729220779220779	24	0.192240086402101	NA	NA	NA
"30020"	NA	NA	NA	0.625696713434557	11	0.178497507183623	NA	NA	NA
"30021"	NA	NA	NA	NA	NA	NA	0.80501443001443	36	0.0810190505175822
"30022"	NA	NA	NA	NA	NA	NA	0.722601840776183	22	0.117671203047003
"30024"	0.586181172829248	22	0.186455386289046	NA	NA	NA	NA	NA	NA
"30026"	NA	NA	NA	0.665021008403361	17	0.139630234935971	NA	NA	NA
"30027"	NA	NA	NA	NA	NA	NA	0.763340335492785	31	0.0679687721794829
"30028"	NA	NA	NA	0.597769033815545	13	0.140968177013672	NA	NA	NA
"30029"	NA	NA	NA	0.65302345608047	31	0.144571227636874	NA	NA	NA
"30030"	NA	NA	NA	0.701309647747096	23	0.179179032745355	NA	NA	NA
"30031"	0.65036231884058	23	0.202224914457286	NA	NA	NA	NA	NA	NA
"30037"	0.658993641544691	17	0.191838856319649	NA	NA	NA	NA	NA	NA
"30038"	0.575098814229249	23	0.201269074513211	NA	NA	NA	NA	NA	NA
"30039"	NA	NA	NA	0.679620785575254	11	0.200950241423943	NA	NA	NA
"30041"	0.632105802694038	17	0.171545441258821	NA	NA	NA	NA	NA	NA
"30043"	NA	NA	NA	0.516079158936302	14	0.268684897499402	NA	NA	NA
"30044"	NA	NA	NA	NA	NA	NA	0.63357302008472	32	0.0779202313402563
"30046"	0.583367153679654	16	0.156587491505554	NA	NA	NA	NA	NA	NA
"30048"	0.629812880356359	23	0.158811899316457	NA	NA	NA	NA	NA	NA
"30050"	0.517389658862527	18	0.245180865701392	NA	NA	NA	NA	NA	NA
"30058"	0.534984404559091	26	0.261762113387282	NA	NA	NA	NA	NA	NA
"30059"	NA	NA	NA	NA	NA	NA	0.836275700503343	36	0.102665256534646
"30060"	NA	NA	NA	NA	NA	NA	0.910727248887818	36	0.0568071530348894
