Sub.Num,age_code,age_months,signs_produced,lbq_asl_percent,native,gender,hearing_status_kid,hearing_status_parent,include ,notes
30001,child,24,61,46,native,f,hearing,deaf,0,fussed-out
30004,adult,999,NA,NA,NA,f,deaf,NA,1,NA
30005,adult,999,NA,NA,NA,m,deaf,NA,1,NA
30006,adult,999,NA,NA,NA,f,deaf,NA,1,NA
30007,adult,999,NA,NA,NA,f,deaf,NA,1,NA
30009,child,40,81,NA,native,f,hearing,deaf,1,NA
30010,child,40,76,NA,native,f,hearing,deaf,1,NA
30011,child,16,19,NA,native,m,deaf,deaf,1,NA
30013,child,25,63,NA,native,m,deaf,deaf,1,NA
30014,child,33,80,100,native,m,deaf,deaf,1,NA
30015,child,21,41,100,native,f,deaf,deaf,1,NA
30016,child,31,78,81,non-native,f,deaf,hearing,1,NA
30017,child,34,73,100,native,f,deaf,deaf,1,NA
30018,child,18,41,100,native,m,hearing,deaf,1,NA
30019,child,29,76,99,native,m,deaf,deaf,1,NA
30020,child,36,73,92,native,m,hearing,deaf,1,NA
30021,adult,999,NA,NA,NA,m,deaf,NA,1,NA
30022,adult,999,NA,NA,NA,m,deaf,NA,1,NA
30023,child,15,NA,NA,native,f,hearing,deaf,1,NA
30024,child,21,39,80,native,m,deaf,deaf,1,NA
30025,child,13,0,NA,native,f,hearing,deaf,0,too young
30026,child,36,50,NA,native,f,deaf,deaf,1,NA
30027,adult,999,NA,NA,NA,m,deaf,NA,1,NA
30028,child,27,60,25,native,f,hearing,deaf,1,NA
30029,child,35,77,90,native,m,deaf,deaf,1,NA
30030,child,25,49,10,non-native,m,deaf,hearing,0,lbq
30031,child,17,39,100,native,m,deaf,deaf,1,NA
30032,child,100,NA,100,native,f,deaf,deaf,0,too-old
30033,child,15,7,36,non-native,m,deaf,hearing,0,vocab-checklist
30034,child,46,78,71,non-native,f,hearing,hearing,1,NA
30035,child,27,20,88,non-native,m,deaf,hearing,0,vocab-checklist
30036,child,42,75,95,native,m,deaf,deaf,1,NA
30037,child,21,NA,90,native,f,hearing,deaf,1,NA
30038,child,16,26,95,native,f,hearing,deaf,1,NA
30039,child,24,68,100,native,f,deaf,deaf,1,NA
30041,child,20,52,88,non-native,m,deaf,hearing,1,NA
30042,child,39,68,100,non-native,f,deaf,hearing,1,NA
30043,child,24,NA,NA,non-native,f,deaf,hearing,0,lbq
30044,adult,999,NA,NA,NA,f,deaf,NA,1,NA
30046,child,23,72,71,native,f,hearing,deaf,1,NA
30048,child,19,31,100,native,m,deaf,deaf,1,NA
30050,child,18,NA,NA,native,f,hearing,deaf,0,got V2 data with CDI
30058,child,20,70,NA,non-native,m,deaf,hearing,0,lbq
30059,adult,999,NA,NA,NA,f,deaf,NA,1,NA
30060,adult,999,NA,NA,NA,f,hearing,NA,1,NA
