"groupping","Time.ms","mean_accuracy","ci.high","ci.low"
"< 26.5 Months",0,0.5,0,0
"< 26.5 Months",33,0.5,0,0
"< 26.5 Months",67,0.5,0,0
"< 26.5 Months",100,0.503968253968254,0.00793650793650802,0.00396825396825395
"< 26.5 Months",133,0.503968253968254,0.00793650793650802,0.00396825396825395
"< 26.5 Months",167,0.50479242979243,0.0115079365079366,0.0102869352869353
"< 26.5 Months",200,0.501816239316239,0.0136599511599512,0.0125041971916972
"< 26.5 Months",233,0.501587301587302,0.0134920634920636,0.0129117063492065
"< 26.5 Months",267,0.501587301587302,0.0136904761904763,0.0134920634920636
"< 26.5 Months",300,0.499068986568987,0.016407203907204,0.016022206959707
"< 26.5 Months",333,0.499961843711844,0.0169146825396825,0.0179344093406594
"< 26.5 Months",367,0.498214285714286,0.0202380952380952,0.019047619047619
"< 26.5 Months",400,0.501854742479743,0.0233248435592186,0.0248317654567655
"< 26.5 Months",433,0.501854742479743,0.0216608825202576,0.0248393967143967
"< 26.5 Months",467,0.503640456765457,0.0261118655649905,0.0269404640498389
"< 26.5 Months",500,0.503640456765457,0.0271135114885114,0.0269624472749472
"< 26.5 Months",533,0.503369893994894,0.0328460601898102,0.027361830877456
"< 26.5 Months",567,0.502683080808081,0.0324461129148631,0.0288555194805193
"< 26.5 Months",600,0.498462648462648,0.0330254467754468,0.0360647685647686
"< 26.5 Months",633,0.49677241096414,0.0267939318409244,0.0328467681545689
"< 26.5 Months",667,0.497406392626981,0.028947163947164,0.035284062342886
"< 26.5 Months",700,0.505342900563489,0.0320935834998336,0.0337194382414972
"< 26.5 Months",733,0.508788066508655,0.0312506080520787,0.0342234032307563
"< 26.5 Months",767,0.517481793999651,0.0341077332885368,0.0380466656359513
"< 26.5 Months",800,0.523453099188393,0.0366290643588437,0.0380807223821927
"< 26.5 Months",833,0.517550321410616,0.0346577294233543,0.0431445321426939
"< 26.5 Months",867,0.522262622997917,0.0357125064478004,0.0405532478142773
"< 26.5 Months",900,0.522303504735227,0.0360151096423417,0.0411702332448131
"< 26.5 Months",933,0.518945949591958,0.0339519084148812,0.0380212359565038
"< 26.5 Months",967,0.52798353898669,0.0345945470262696,0.0359859710929827
"< 26.5 Months",1000,0.528787924659497,0.0348572817284809,0.0371254666639382
"< 26.5 Months",1033,0.541801993923566,0.04228918800375,0.0367902087070873
"< 26.5 Months",1067,0.541372124607419,0.0377498726763432,0.0374289109583227
"< 26.5 Months",1100,0.545101310726311,0.0440965082371334,0.0401332521645023
"< 26.5 Months",1133,0.545758335232019,0.0397054663173083,0.0380983234601655
"< 26.5 Months",1167,0.559842595791844,0.0481084678688062,0.0428323819559722
"< 26.5 Months",1200,0.568840702947846,0.0467109552154195,0.0465143140589569
"< 26.5 Months",1233,0.571093009388817,0.0374851101602848,0.0418966128117915
"< 26.5 Months",1267,0.576152119938885,0.0420842263041581,0.0409489659500164
"< 26.5 Months",1300,0.590169430958905,0.0446080478975215,0.0391021794969163
"< 26.5 Months",1333,0.612039469511274,0.0380865499110331,0.0331866353153947
"< 26.5 Months",1367,0.612789930412111,0.0406222028284997,0.0366399013215273
"< 26.5 Months",1400,0.630561691337067,0.0405215236413543,0.03892434445254
"< 26.5 Months",1433,0.629678026999456,0.034847919111312,0.0373138827937933
"< 26.5 Months",1467,0.626502364972193,0.0387978287277856,0.0473073747373317
"< 26.5 Months",1500,0.638056175092732,0.0390000652704827,0.0403434730860922
"< 26.5 Months",1533,0.65067946189365,0.0351427743851623,0.0408601488841152
"< 26.5 Months",1567,0.655530481423338,0.0427030187074828,0.0443634032138497
"< 26.5 Months",1600,0.651583485958486,0.0413365466378859,0.0456549390589569
"< 26.5 Months",1633,0.649263038548753,0.049467828798186,0.0488144841269842
"< 26.5 Months",1667,0.645602862050231,0.0598933358308358,0.0640598600960443
"< 26.5 Months",1700,0.653413897610326,0.0544075963718822,0.0568642481030874
"< 26.5 Months",1733,0.657925606139892,0.0497285997732428,0.0548672161172161
"< 26.5 Months",1767,0.663781407084978,0.0456201846268809,0.0561113056090735
"< 26.5 Months",1800,0.671018305340784,0.0433303008703482,0.0447166013112703
"< 26.5 Months",1833,0.673817819085676,0.0442766999865215,0.0492609320243249
"< 26.5 Months",1867,0.67677824820682,0.0414356373619768,0.0460703710145675
"< 26.5 Months",1900,0.67072064839922,0.0453473671665637,0.0462270678230499
"< 26.5 Months",1933,0.667236559388815,0.0476582135622314,0.0423215184199678
"< 26.5 Months",1967,0.675214675849074,0.0424334705473097,0.0394896402374081
"< 26.5 Months",2000,0.682572288822289,0.0508608232045733,0.0539876963314463
"< 26.5 Months",2033,0.668853487782059,0.0581385628260628,0.0573574109422325
"< 26.5 Months",2067,0.667027375298052,0.0576270367059842,0.0579762216428099
"< 26.5 Months",2100,0.673385732549266,0.0539852263007808,0.0527256882285078
"< 26.5 Months",NA,NA,81.1104179826205,67.0924191537051
"> 26.5 Months",0,0.5,0,0
"> 26.5 Months",33,0.5,0,0
"> 26.5 Months",67,0.5,0,0
"> 26.5 Months",100,0.497222222222222,0.00277777777777782,0.00555555555555559
"> 26.5 Months",133,0.495707070707071,0.00429292929292935,0.00681818181818183
"> 26.5 Months",167,0.495454545454545,0.00454545454545452,0.00757575757575751
"> 26.5 Months",200,0.495454545454545,0.00454545454545452,0.00757575757575751
