Sub.Num,age_months,signs_produced,lbq_asl_percent,native,gender,hearing_status_kid,hearing_status_parent,include ,notes
30001,24,61,46,native,f,hearing,deaf,0,fussed-out
30004,999,NA,NA,NA,f,deaf,NA,1,NA
30005,999,NA,NA,NA,m,deaf,NA,1,NA
30006,999,NA,NA,NA,f,deaf,NA,1,NA
30007,999,NA,NA,NA,f,deaf,NA,1,NA
30009,40,81,NA,native,f,hearing,deaf,1,NA
30010,40,76,NA,native,f,hearing,deaf,1,NA
30011,16,19,NA,native,m,deaf,deaf,1,NA
30013,25,63,NA,native,m,deaf,deaf,1,NA
30014,33,80,100,native,m,deaf,deaf,1,NA
30015,21,41,100,native,f,deaf,deaf,1,NA
30016,31,78,81,non-native,f,deaf,hearing,1,NA
30017,34,73,100,native,f,deaf,deaf,1,NA
30018,18,41,100,native,m,hearing,deaf,1,NA
30019,29,76,99,native,m,deaf,deaf,1,NA
30020,36,73,92,native,m,hearing,deaf,1,NA
30021,999,NA,NA,NA,m,deaf,NA,1,NA
30022,999,NA,NA,NA,m,deaf,NA,1,NA
30023,15,NA,NA,native,f,hearing,deaf,1,NA
30024,21,39,80,native,m,deaf,deaf,1,NA
30025,13,0,NA,native,f,hearing,deaf,1,NA
30026,36,50,NA,native,f,deaf,deaf,1,NA
30027,999,NA,NA,NA,m,deaf,NA,1,NA
30028,27,60,25,native,f,hearing,deaf,1,NA
30029,35,77,90,native,m,deaf,deaf,1,NA
30030,25,49,10,non-native,m,deaf,hearing,0,lbq
30031,17,39,100,native,m,deaf,deaf,1,NA
30032,100,NA,100,native,f,deaf,deaf,0,too-old
30033,15,7,36,non-native,m,deaf,hearing,0,vocab-checklist
30034,46,75,71,non-native,f,hearing,hearing,1,NA
30035,27,20,88,non-native,m,deaf,hearing,0,vocab-checklist
30036,42,75,95,native,m,deaf,deaf,1,NA
30037,21,NA,90,native,f,hearing,deaf,1,NA
30038,16,26,95,native,f,hearing,deaf,1,NA
30039,24,68,100,native,f,deaf,deaf,1,NA
30041,20,52,88,non-native,m,deaf,hearing,1,NA
30042,39,68,100,non-native,f,deaf,hearing,1,NA
30043,24,NA,NA,non-native,f,deaf,hearing,0,lbq
30044,999,NA,NA,NA,f,deaf,NA,1,NA
30046,23,72,71,native,f,hearing,deaf,1,NA
30048,19,31,100,native,m,deaf,deaf,1,NA
30050,18,NA,NA,native,f,hearing,deaf,1,NA
30058,20,70,NA,non-native,m,deaf,hearing,0,lbq
30059,999,NA,NA,NA,f,deaf,NA,1,NA
30060,999,NA,NA,NA,f,hearing,NA,1,NA
